Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,17-02-2019,,999-65-3251,,,,Damon455,Langosh790,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,1104,42.08038943,-72.48043145,9039.1645,7964.1255
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,04-07-2005,,999-49-3323,S99941126,,,Thi53,Wunsch504,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.03521336,-71.48251905,402723.415,14064.135
339144f8-50e1-633e-a013-f361391c4cff,11-05-1998,,999-10-8743,S99996708,X75063318X,Mr.,Chi716,Greenfelder433,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,2131,42.29255662,-71.06116042,571935.8725,787.5375
d488232e-bf14-4bed-08c0-a82f34b6a197,28-01-2003,,999-56-6057,S99929424,,Ms.,Phillis443,Walter473,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,2043,42.20049082,-70.91607558,582557.803,104782.207
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,23-12-1993,,999-91-4320,S99991143,X44132498X,Mr.,Jerrold404,Herzog843,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.38187488,-70.99928578,475826.855,18067.095
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,04-12-2020,,999-31-8261,,,,Brandon214,Watsica258,,,,white,nonhispanic,F,Northborough  Massachusetts  US,734 Brakus Pathway Unit 28,New Marlborough,Massachusetts,Berkshire County,,42.14702801,-73.2171032,31468.04,206.22
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,15-12-1990,,999-60-9905,S99950633,X36202735X,Mr.,Rodrigo242,Arellano2,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,2151,42.4432615,-71.02232158,772362.725,2213.085
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,05-06-1985,,999-93-3123,S99913090,X72720258X,Mr.,Sal878,Hoppe518,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,2138,42.36345987,-71.10225287,924957.2675,874.3725
0288c42c-43a1-9878-4a9d-6b96caa12c40,17-12-1979,,999-68-7908,S99962050,X4451825X,Mrs.,Miki234,Kozey370,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,2472,42.33742542,-71.1066547,1134817.571,226909.9595
dc6c06d0-a7d8-100f-c08b-46c93700c188,11-07-2006,,999-30-6555,,,,Taylor21,Gulgowski816,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,1037 Hills Extension,Springfield,Massachusetts,Hampden County,1013,42.13505594,-72.48174986,390675.5775,1826.3325
61a2fcc0-d679-764c-7d86-b885b2c4907f,22-01-1993,,999-98-2186,S99988392,X72124702X,Mrs.,Erline657,Metz686,,Strosin214,M,white,nonhispanic,F,Mashpee  Massachusetts  US,566 Rosenbaum Ferry,Holbrook,Massachusetts,Norfolk County,,42.15188021,-70.95230839,1223457.81,160.14
c0219ca9-576f-f7c2-9c44-de030e94969b,06-12-1971,,999-24-2120,S99951566,X2456540X,Mrs.,Beatriz277,Urías338,,Villalpando154,M,white,hispanic,F,Lima  Lima Province  PE,497 Bahringer Crossing,Somerville,Massachusetts,Middlesex County,2138,42.37578549,-71.09039667,1509753.911,968261.839
cb8c092a-99aa-6c9c-1ec1-660f0b00549d,28-12-1990,,999-74-6572,S99980075,X57149020X,Mrs.,Kari181,Douglas31,,Langworth352,M,white,nonhispanic,F,Framingham  Massachusetts  US,413 Auer Burg Suite 64,Wellesley,Massachusetts,Norfolk County,2457,42.330604,-71.30822396,1040518.45,22454.94
97a20cf9-630d-939c-2f50-f13c434aee2f,23-03-1984,,999-16-8479,S99946662,X72015493X,Mrs.,Mayme605,Walter473,,Lesch175,M,white,nonhispanic,F,Blackstone  Massachusetts  US,441 Rodriguez Bridge,Boston,Massachusetts,Suffolk County,2129,42.36692392,-71.06483074,1622874.118,74751.4725
55a6a46e-a1a4-0298-e58f-c0cb27cbb022,18-09-1958,13-11-2009,999-79-5115,S99956983,X26820988X,Mrs.,Maddie576,Gutmann970,,Blanda868,M,white,nonhispanic,F,Boston  Massachusetts  US,577 Schmeler Frontage road Unit 7,Quincy,Massachusetts,Norfolk County,2169,42.31470216,-71.0270053,2895617.604,312276.306
961f61f8-ed32-f113-8450-192064b49aa9,13-06-2002,,999-91-5120,S99910835,,Ms.,Jessia669,Wisoky380,,,,white,nonhispanic,F,Southwick  Massachusetts  US,106 Kerluke Rest Apt 5,Abington,Massachusetts,Plymouth County,2351,42.15407877,-70.95799629,485313.59,1825.08
